Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
ColossalAI,CH.Li,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,CZYCW,16,120,120,120,120,0,30,6036,314.375,0.3333333333333333,124.17673148148148,0.0,0.008064516129032251,48.67741935483871,0.0007482229704451927,0.045916152263374484,0.09345167207049923
ColossalAI,Camille Zhong,484,660,660,660,660,0,30,33198,inf,0.3333333333333333,124.1767314814815,0.0,1.5659824046920823,48.67741935483871,0.004115226337448559,0.25253883744855965,0.5139841963877457
ColossalAI,Cautiousss,9,90,90,90,90,0,30,4527,1257.5,0.3333333333333333,124.17673148148147,0.0,0.010752688172043,48.67741935483871,0.0005611672278338944,0.03443711419753086,0.07008875405287442
ColossalAI,Chandler-Bing,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Charles Coulombe,1,30,30,30,30,0,30,1509,503.0,0.3333333333333333,124.17673148148148,0.0,0.064516129032258,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,ChengDaqi2023,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,CjhHa1,9,90,90,90,90,0,30,4527,inf,0.3333333333333333,124.17673148148147,0.0,0.22580645161290325,48.67741935483871,0.0005611672278338944,0.03443711419753086,0.07008875405287442
ColossalAI,CsRic,169,390,390,390,390,0,30,19617,inf,0.3333333333333333,124.17673148148148,0.0,1.3498759305210917,48.67741935483871,0.002431724653946876,0.14922749485596706,0.30371793422912247
ColossalAI,Cuiqing Li (李崔卿),49,210,210,210,210,0,30,10563,-210.36630344458126,0.3333333333333333,124.17673148148148,0.0,14.207373271889404,48.67741935483871,0.0013093901982790873,0.08035326646090535,0.16354042612337366
ColossalAI,Desperado-Jia,4,60,60,60,60,0,30,3018,565.875,0.3333333333333333,124.17673148148148,0.0,0.06451612903225805,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,Deyuan Guo,4,60,60,60,60,0,30,3018,943.125,0.3333333333333333,124.17673148148148,0.0,0.04838709677419355,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,Dongruixuan Li,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,DouJS,25,150,150,150,150,0,30,7545,inf,0.3333333333333333,124.17673148148148,0.0,-0.025806451612903215,48.67741935483871,0.0009352787130564907,0.057395190329218096,0.11681459008812403
ColossalAI,Dr-Corgi,1,30,30,30,30,0,30,1509,377.25,0.3333333333333333,124.17673148148148,0.0,0.0967741935483871,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Dustin Lundquist,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Edenzzzz,676,780,780,780,780,0,30,39234,383.16428415254927,0.3333333333333333,124.17673148148148,0.0,7.292803970223326,48.67741935483871,0.004863449307893752,0.2984549897119341,0.6074358684582449
ColossalAI,ExtremeViscent,16,120,120,120,120,0,30,6036,150.9,0.3333333333333333,124.17673148148148,0.0,0.1129032258064516,48.67741935483871,0.0007482229704451927,0.045916152263374484,0.09345167207049923
ColossalAI,Fan Cui,1,30,30,30,30,0,30,1509,1.613903743315508,0.3333333333333333,124.17673148148148,0.0,30.12903225806452,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Fazzie,16,120,120,120,120,0,30,6036,17.305735681833102,0.3333333333333333,124.17673148148148,0.0,19.266129032258064,48.67741935483871,0.0007482229704451927,0.045916152263374484,0.09345167207049923
